date,exdate
19960116,19960316
19960220,19960420
19960319,19960518
19960423,19960622
19960521,19960720
19960618,19960817
19960723,19960921
19960820,19961019
19960917,19961116
19961022,19961221
19961119,19970118
19961224,19970222
19970121,19970322
19970218,19970419
19970318,19970517
19970422,19970621
19970520,19970719
19970617,19970816
19970722,19970920
19970819,19971018
19970923,19971122
19971021,19971220
19971118,19980117
19971223,19980221
19980120,19980321
19980217,19980418
19980317,19980516
19980421,19980620
19980519,19980718
19980623,19980822
19980721,19980919
19980818,19981017
19980922,19981121
19981020,19981219
19981117,19990116
19981222,19990220
19990119,19990320
19990216,19990417
19990323,19990522
19990420,19990619
19990518,19990717
19990622,19990821
19990720,19990918
19990817,19991016
19990921,19991120
19991019,19991218
19991123,20000122
19991221,20000219
20000118,20000318
20000222,20000422
20000321,20000520
20000418,20000617
20000523,20000722
20000620,20000819
20000718,20000916
20000822,20001021
20000919,20001118
20001017,20001216
20001121,20010120
20001219,20010217
20010116,20010317
20010220,20010421
20010320,20010519
20010417,20010616
20010522,20010721
20010619,20010818
20010724,20010922
20010821,20011020
20010918,20011117
20011023,20011222
20011120,20020119
20011218,20020216
20020115,20020316
20020219,20020420
20020319,20020518
20020423,20020622
20020521,20020720
20020618,20020817
20020723,20020921
20020820,20021019
20020917,20021116
20021022,20021221
20021119,20030118
20021224,20030222
20030121,20030322
20030218,20030419
20030318,20030517
20030422,20030621
20030520,20030719
20030617,20030816
20030722,20030920
20030819,20031018
20030923,20031122
20031021,20031220
20031118,20040117
20031223,20040221
20040120,20040320
20040217,20040417
20040323,20040522
20040420,20040619
20040518,20040717
20040622,20040821
20040720,20040918
20040817,20041016
20040921,20041120
20041019,20041218
20041123,20050122
20041221,20050219
20050118,20050319
20050215,20050416
20050322,20050521
20050419,20050618
20050517,20050716
20050621,20050820
20050719,20050917
20050823,20051022
20050920,20051119
20051018,20051217
20051122,20060121
20051220,20060218
20060117,20060318
20060221,20060422
20060321,20060520
20060418,20060617
20060523,20060722
20060620,20060819
20060718,20060916
20060822,20061021
20060919,20061118
20061017,20061216
20061121,20070120
20061219,20070217
20070116,20070317
20070220,20070421
20070320,20070519
20070417,20070616
20070522,20070721
20070619,20070818
20070724,20070922
20070821,20071020
20070918,20071117
20071023,20071222
20071120,20080119
20071218,20080216
20080122,20080322
20080219,20080419
20080318,20080517
20080422,20080621
20080520,20080719
20080617,20080816
20080722,20080920
20080819,20081018
20080923,20081122
20081021,20081220
20081118,20090117
20081223,20090221
20090120,20090321
20090217,20090418
20090317,20090516
20090421,20090620
20090519,20090718
20090623,20090822
20090721,20090919
20090818,20091017
20090922,20091121
20091020,20091219
20091117,20100116
20091222,20100220
20100119,20100320
20100216,20100417
20100323,20100522
20100420,20100619
20100518,20100717
20100622,20100821
20100720,20100918
20100817,20101016
20100921,20101120
20101019,20101218
20101123,20110122
20101221,20110219
20110118,20110319
20110215,20110416
20110322,20110521
20110419,20110618
20110517,20110716
20110621,20110820
20110719,20110917
20110823,20111022
20110920,20111119
20111018,20111217
20111122,20120121
20111220,20120218
20120117,20120317
20120221,20120421
20120320,20120519
20120417,20120616
20120522,20120721
20120619,20120818
20120724,20120922
20120821,20121020
20120918,20121117
20121023,20121222
20121120,20130119
20121218,20130216
20130115,20130316
20130219,20130420
20130319,20130518
20130423,20130622
20130521,20130720
20130618,20130817
20130723,20130921
20130820,20131019
20130917,20131116
20131022,20131221
20131119,20140118
20131224,20140222
20140121,20140322
20140218,20140419
20140318,20140517
20140422,20140621
20140520,20140719
20140617,20140816
20140722,20140920
20140819,20141018
20140923,20141122
20141021,20141220
20141118,20150117
20141222,20150220
20150316,20150515
20150420,20150619
20150518,20150717
20150622,20150821
20150720,20150918
20150817,20151016
20150921,20151120
20151020,20151219
20151116,20160115
20151221,20160219
20160119,20160318
20160216,20160415
20160321,20160520
20160418,20160617
20160516,20160715
20160620,20160819
20160718,20160916
20160822,20161021
20160919,20161118
20161017,20161216
20161121,20170120
20161219,20170217
20170117,20170317
20170221,20170421
20170320,20170519
20170417,20170616
20170522,20170721
20170619,20170818
20170717,20170915
20170821,20171020
20170918,20171117
20171016,20171215
20171120,20180119
20171218,20180216
20180117,20180316
20180221,20180420
20180319,20180518
20180416,20180615
20180521,20180720
20180618,20180817
20180723,20180921
20180820,20181019
20180917,20181116
20181022,20181221
20181119,20190118
20181217,20190215
20190114,20190315
20190219,20190418
20190318,20190517
20190422,20190621
20190520,20190719
20190617,20190816
20190722,20190920
20190819,20191018
20190916,20191115
20191021,20191220
20191118,20200117
20191223,20200221
20200121,20200320
20200218,20200417
20200316,20200515
20200420,20200619
20200518,20200717
20200622,20200821
20200720,20200918
20200817,20201016
20200921,20201120
20201019,20201218
20201116,20210115
20201221,20210219
20210119,20210319
20210216,20210416
20210322,20210521
20210419,20210618
20210517,20210716
20210621,20210820
20210719,20210917
20210816,20211015
20210920,20211119
20211018,20211217
20211122,20220121
20211220,20220218
