date_30,rf_gross_29d,date_60,rf_gross_59d,date_90,rf_gross_89d,date_180,rf_gross_179d
19960117,1.0045231273524702,19960117,1.0090936271654956,19960117,1.0135673143099355,19960117,1.0266086196392972
19960214,1.0042832794230359,19960221,1.0086956295024787,19960214,1.0128983964475167,19960214,1.0253192271248353
19960320,1.004352599375568,19960320,1.008881613338097,19960320,1.0134367840380647,19960320,1.0271699912371495
19960417,1.004392951048907,19960424,1.0089455637033873,19960417,1.0135692351487602,19960417,1.0276158396244892
19960522,1.0043712770405056,19960522,1.0089694463716046,19960515,1.0135772250370432,19960515,1.027849254181519
19960619,1.0043734346522657,19960619,1.009107583928149,19960619,1.0139517731531773,19960619,1.0287712293027613
19960717,1.0043928868736376,19960724,1.0091593364807694,19960717,1.014021278073951,19960717,1.029148625037565
19960821,1.0043468671113773,19960821,1.0089982904623798,19960814,1.0137033909401338,19960821,1.028351098947045
19960918,1.0044009275409085,19960918,1.0092082170361993,19960918,1.0141527099537686,19960918,1.0291812257748376
19961016,1.004325525717017,19961023,1.008985380017137,19961016,1.0137244209766854,19961016,1.0280629434006594
19961120,1.0043318413691538,19961120,1.0089254279251578,19961120,1.0135145302149995,19961113,1.0275148825919187
19961218,1.0045014788617115,19961224,1.0093965814185082,19961218,1.0137932840165078,19961218,1.0279343701767738
19970122,1.0043725717574845,19970122,1.0090461342736121,19970115,1.0137749030018806,19970115,1.0282669425284685
19970219,1.004329421266454,19970219,1.0089267883010997,19970212,1.0136273856877975,19970212,1.0278766927154486
19970319,1.00443354198355,19970319,1.0092028324732485,19970319,1.0140723015606603,19970319,1.0289577193219757
19970416,1.004573461689655,19970423,1.009521480720479,19970416,1.0145412012162962,19970416,1.030123703728039
19970521,1.0045739910085945,19970521,1.0094598408938007,19970514,1.014454010287345,19970521,1.0296927763786605
19970618,1.0045731260430415,19970618,1.0094098004370644,19970618,1.014302898726053,19970618,1.029134365201885
19970716,1.0045654396062718,19970723,1.0093328737420486,19970716,1.0142252482287264,19970716,1.0291037537910177
19970820,1.0045303515952344,19970820,1.0093231438437464,19970820,1.0141964926294496,19970820,1.0290460572990854
19970917,1.0045524807479806,19970924,1.0093959965385448,19970917,1.0142097828227863,19970917,1.0289262996553414
19971022,1.0045546082657866,19971022,1.0094749723155667,19971015,1.0142853427132474,19971015,1.029236333214722
19971119,1.0045739562831655,19971119,1.0094624162792334,19971119,1.014356519453816,19971112,1.029155334817529
19971217,1.0047592918469495,19971224,1.0098043594223085,19971217,1.0145875769009047,19971217,1.0293894000664428
19980121,1.0045182044247187,19980121,1.0091890256722353,19980114,1.0138692694524787,19980114,1.0279005010053504
19980218,1.0045267747127815,19980218,1.0092249825602615,19980211,1.0139339306074608,19980218,1.0279419166799721
19980318,1.0045636925912977,19980318,1.009288407478207,19980318,1.0140319296772915,19980318,1.0283921312349418
19980415,1.0045519962253726,19980422,1.009321136099553,19980415,1.0140977306354675,19980415,1.028632144237587
19980520,1.0045420294699887,19980520,1.009318829258439,19980520,1.0141241855686256,19980520,1.0287536374406052
19980617,1.0045468875749664,19980624,1.0093259650174746,19980617,1.0141067561454336,19980617,1.0287323865311253
19980722,1.0045467491615858,19980722,1.0093063161843456,19980715,1.0140897056292388,19980715,1.0286267038706038
19980819,1.0045465043571113,19980819,1.0092861943920184,19980819,1.0140663779450612,19980819,1.0283984458859032
19980916,1.00450779037375,19980923,1.0089459333349073,19980916,1.0134866633718949,19980916,1.0265529799659119
19981021,1.004207014225827,19981021,1.0084123047750093,19981014,1.0128679002231362,19981014,1.0247178574655624
19981118,1.0040675772915821,19981118,1.0083731670582496,19981118,1.012553119302579,19981118,1.024848217039201
19981216,1.0043974882143742,19981223,1.008643751710541,19981216,1.0127721125011526,19981216,1.0249050121751944
19990120,1.0039823504525973,19990120,1.0081423305256898,19990113,1.0123781705333215,19990113,1.0248933011291876
19990217,1.0039734142938084,19990217,1.008166461464671,19990217,1.0123986408846348,19990217,1.0252639517065454
19990317,1.003963040460259,19990324,1.0081604971085643,19990317,1.0123887129758107,19990317,1.0253002874209503
19990421,1.0039502246463707,19990421,1.0081280860605222,19990414,1.012309964712779,19990414,1.0250154235893238
19990519,1.0039633074288024,19990519,1.0082234298969015,19990519,1.0125783344520929,19990519,1.0261723345106368
19990616,1.0040223517138562,19990623,1.008567368475905,19990616,1.0129304608722058,19990616,1.0271392029745214
19990721,1.0041527054946557,19990721,1.008607454792049,19990714,1.0131753379880635,19990721,1.0273404366175864
19990818,1.0042452402328859,19990818,1.008878838521031,19990818,1.0137766474897763,19990818,1.0287073864087857
